Title,Name,Region,Address,Town,Postcode,Telephone,Email,Contact first name,Contact last name,Description,Access,Cost,Website address,Sector,Sector - other
Liberator,Liberator,All of UK,"Minerva Business Park,Lynch wood",Peterborough,PE2 6FT,0845 226 1144,Info@liberator.co.uk,Martyn,Bolam,"As well as being a world leader in AAC systems, we also provide a wide range of assistive and inclusive technology devices, software, and internationally acclaimed training courses all aimed at meeting the needs of individuals with access or learning support needs, and for those who work with and support them. Also, on our website, you will find a wide range of resources, from free downloads to advice guides and presentations on many aspects of using technology to maximise learning and communication.",all,Yes - variable,www.liberator.co.uk,Computers & The Internet,"Special Needs Hardware, Software and Training"
Communication Aids,Liberator Ltd,All of UK,"Minerva Business Park,Lynch Wood",Peterborough,PE2 6FT,0845 226 11 44,info@liberator.co.uk,Kumba,Koroma,"Liberator provides,training and support for communication, inclusion and independence. Our aim is to help you achieve the best communication possible for the people you support, whatever their age or ability.

Our products include powerful and flexible communication aids, early learning software, adapted toys, switches, computer access devices and classroom resources.",all,,www.liberator.co.uk,Communication Aids / AAC,
Psychology and family law expert witness,Katherine Fingleton Chartered Psychologist Ltd,All of UK,"11 Canada Wharf,255 Rotherhithe Street,London SE16 5ES",London,SE16 5ES,7795632835,KFingleton@aol.com,Katherine,Fingleton,"I undertake single expert witness assessments (educational and psychological) of children, young people and families for family law courts, SENDIST, Local Authorities and individuals.",all,Yes,,Assessment,
A magazine run by and for people with learning difficulties,OurSay,All of UK,"2 Beulah Villas,Melton Road,Melton,IP12 1NZ",Melton,IP12 1NZ,01394 387330,oursay@oakfields.org,Janet,Snell,"OurSay aims to give people with learning disabilities a voice so they can raise the issues important to them.
We cover news and views. We have a dating and friendship column called Be My Mate and other regulars include Watkins World, a column by the national director for people with learning disabilities. 

People send us photos of where they live and tell us about their jobs and their lives. We have reviews, puzzles, prize competitions and much more.....!  
Our subscribers include advocacy and self-advocacy groups, housing associations, day centres and all the partnership boards.",adult,"£48 a year for 2 copies 6 times a year.   If you're not delighted, we will give you your money back!",www.oursay.info,Media & Communication,
Photographic Services,Zoom Co-operative Ltd,All of UK,"Unit 9 Easton Business Centre,Felix Road,Easton",Bristol,BS5 0HE,0117 941 5327,info@zoom.coop,Keith,Bates,"Zoom is a Social Firm that creates employment opportunities by developing and printing people's photos. We can put photos on mugs and mouse mats and print photo books too.  Zoom also runs workshops on using a camera and developing and printing.
People can send their films to us in the post, drop them in at a collection box or email their digital photos to us.
Zoom runs Photo Competitions with photosymbols for people with a learning disability.",all,Cost depends on which service,www.zoom.coop,Employment Services,
"Music, Art, & Computers",Musicteam,All of UK,"Uk wide, main contact address:,Musicteam,Boundary Road,Bidston",Birkenhead,CH43 7RA,001 404 408 8702,mublac@yahoo.co.uk,John,McMinn,"Provision of art, music and computer tuition throughout the UK at Day Centres, Youth clubs, care homes and residencies. We run groups of up to 100 down to 1 to 1 sessions. 

A fantastic company, innovative and fresh, they have the essential combination that is learning and enjoyment. Music session groups where the group members sing their favourite songs; we also have guitar tuition at all levels, computer tiotion too at beginners level and up, singing/ poet groups, percussion, cd artwork design, band recording projects, musicals, themed seminars, plays, piano tuition are just some examples of areas we have worked in. 

Our rates depend on location but they are very competitive and fair to all. We block book, arranging a programme of sessions to suit your needs.",all,Depends on location but always fair.,http://members.lycos.co.uk/musicteamwirral/,Other,"Music and Artistic expression, computer tuition"
Dyspraxia Information,Independent Dyspraxia/SEN Advisor & Trainer,All of UK,"Riverside Farm,Skelton,Howden,East Yorkshire",Howden,DN147RP,1430432407,gilldix@talktalk.net,Gill,Dixon,"Offers training & advice to schools, colleges, health professionals, and parents/carers. Specialising in Dyspraxia (author of 'Making Inclusion Work for Children with Dyspraxia'), but able to provide training on a whole range of child centred subjects especially around Special Educational Needs.I am a parent of a child with dyspraxia as well as a professional so operate in the 'real world'.",all,Very competitive rates.,www.dyspraxiainfo.co.uk,Education,Parent Support Services.
Walking and Adventure Activities,Mountain House Holidays,All of UK,"Vale Cottage, Foolow, Eyam, Hope Valley Sheffield S32 5QR",Foolow,S32 5QR,01433 639368,info@mountain-house.co.uk,Mike or Jane,Hunt,Holidays and outdoor adventure activities in the Derbyshire Peak District and Sierra Nevada Mountains Southern Spain.  Designated weeks or specially designed packages to suit individual needs.  We use local accommodation and ordinary facilities.,all,yes; depending on how long your holiday is,http://www.mountain-house.co.uk,Tourism,Holidays
Dyspraxia Foundation,Dyspraxia Foundation,All of UK,"8 West Alley,Hitchin,Herts,SG5 1EG",Hitchin,SG5 1EG,01462 454986,dyspraxia@dyspraxiafoundation.org.uk,Any member of staff,------------,"Supports individuals and families affected by dyspraxia.Promotes awareness and understanding of dyspraxia. Publishes leaflets, booklets, books and guides for parents, those who have dyspraxia and professionals. Organises conferences and talks about dyspraxia related topics for parents, carers and professionals. Supports a network of local groups across the United Kingdom and can be visited by members of the
public for information and resources.",all,No,www.dyspraxiafoundation.org.uk,Charities,
CARE Devon,CARE Devon,S.W. England,"CARE Devon,East Anstey",Tiverton,EX16 9JT,01398 341 252,blackerton@care-ltd.co.uk,Sylvia,Boyles,"We support people with learning disabilities to live the way they choose. There are cottages at our residential community at East Anstey, group homes in Bampton, Tavistock and Horrabridge and supported living flats in South Molton. 

We support people to get ready for employment and find jobs. You can learn work skills like shop work, catering, conservation and living skills like being part of your community and speaking out.

Everyone is welcome to visit our Community Woodland Project, open free of charge, all year round and the paths are wheelchair accessible. Our gift shop is open weekdays, 9.30am to 4.30pm.",adult,Please phone to find out more,www.care-ltd.co.uk,Charities,
Inclusive Children's Centre,The Limes Community & Children's Centre,London,"The Limes Community & Children's Centre, William Morris Hall, 6 Somers Road, Walthamstow, London",Walthamstow,E17 6RX,020 8509 8985,melissa@thelimes.org.uk,Melissa,Miller,The Limes is a purpose built inclusive children's centre that provides a range of play and leisure servuces for disabled and non-disabled young people from the age of 0-25.,all,,http://www.walthamstownow.co.uk/project_limes_community_centre.htm,Play Schemes,Play and Leisure
trampolining for children and adults with autistic spectrum disorders,Blackpool Tiggers,N.W. England,"21 Windermere Road,Blackpool",Blackpool,FY4 2BX,7966067937,debrab@blackpooltiggers.co.uk,Debra,Bookbinder,"Trampolining for children and adults and siblings with Autistic spectrum disorders, this includes qualified coaches and an autistic specific advisor, soft play area and a sensory room it all takes place on sundays at stanley sport centre in Blackpool. It is the first one of it's kind in the country and we advise and train other organisations and parents to set up there own clubs in their own area. it's a great place to come and meet other parents whatch your kids having fun and a high ratio of volunteers to children.",all,£4.00 per person for trampolining,http://www.blackpooltiggers.co.uk,Accessibility Services,
Training Services,Concept Training,All of UK,"Concept Training,15 Beach Street",Morecambe,LA4 6BT,01524 832828,janetprice@concept-training.co.uk,Janet,Price,"Concept Training is one of the country's leading providers of training for anyone working or living with people of all ages who have Special Needs, including those with a learning disability, complex needs, sensory impairment and autism. Their courses use straightforward language to impart practical knowledge and imformation for immediate use",all,Yes,www.concept-training.co.uk,Training,
Advocacy,East Lancashire Advocacy,N.W. England,"54 Blackburn road,,Accrington,,Lancashire,,BB5 1LE",Accrington,bb5 1le,01254 301030,elas@elas.org.uk,david,purdy-baker,"we are a free, confidential and independent advocacy service working only in the east lancashire area. we can only advocate for adults who have issues with the health and social services. we help to say what you want to say. we do not judge and do not tell you what to do. we are a registered charity and are made up of paid staff and volunteers, and a board of trustees.",adult,free,www.elas.org.uk,Advocacy,
Burnley College Learning Difficulties Team,Burnley College,N.W. England,"Burnley College,Shorey Bank,Ormerod Road",Burnley,BB11 2RX,01282 711343,A.Wallman@burnley.ac.uk,Andrea,Wallman,"Education courses for people with learning difficulties. We currently have 6 fulltime courses, offered over 3 or 4 days. We have 2 courses focusing on work experience with the aim to give learners the opportunity to work either part time or on a voluntary basis when leaving college.",adult,Fee remission is available for those in receipt of benefits,www.burnley.ac.uk,Education,
Understanding Learning Disabilities,Chelmsford Mencap,S.E. England,32 Shelley Road,Chelmsford,CM2 6ER,01245 268303,chelmsfordmencap@blueyonder.co.uk,Sam,Barnett,"We are a registered charity, providing help and information for people with learning disabilities.  We run a Gateway Club for over 16's a Gateway Kidz Club for 5-16 year olds and a Daybreak Scheme for 3-18 years for our members in the Chelmsford Area. Disabled Membership costs just £10pa, Ordinary Membership £15pa and e-membership just £5pa.  Quarterly news magazine issued, together with reduced fees to many clubs, schemes and events.  £10 xmas voucher to every learning disabled member when joining before 1st August each year (not e-members).",all,Membership fee applies,www.chelmsfordmencap.co.uk,Support Service,
Advocacy services + support + information + advice,INTERACT,S.E. England,"INTERACT,372-374 Portland Road,Hove,Sussex",Brighton and Hove,BN3 5SD,01273 422971,graham@bhci.org,Graham,Lee,"We are a user led organisation that provides:- Advocacy, support, information, training and a direct payments brokerage to people with a learning difficulty. We also support a user controlled social club.There are no charges to any service user for any of our services. We do charge provider organisations for the provision of training and consultation services.",adult,Not to service users,,Advocacy,
Starbucks Mid-Week,Bolton Shared Care,N.W. England,"Children with Disabilities Services,Crescent House,Lever Street,Bolton,BL3 6NN",Bolton,BL3 6NN,(01204) 337100,iain.massingham@bolton.gov.uk,Iain,Massingham,"Starbucks Mid-Week is a drop in youth evening at the local Starbucks cafe, Middlebrook Bolton. The group empowers young disabled people by giving them the opportunty to make their own choices in how they spend their spare time, and who they spend it with.",children,Young people attending must pay for their own activity of choice.,http://www.boltoncommunity.co.uk/boltonsharedcare/7.html,Public & Social Services,
Information service for West Sussex,ICIS : information for life,S.E. England,"35 Worthing Road,East Preston,West Sussex,BN16 1BQ",East Preston,BN16 1BQ,0800 859929,enquiries@icis-info4life.org.uk,Not,applicable,"ICIS is an information service for people of all ages in West Sussex who need help because of a disability or difficulty. Phone their freephone Enquiry Line (0800 859929), or search the databases on their website, to find services providing help, support or advice.",all,No,www.icis-info4life.org.uk,Public & Social Services,
Skillnet Group - Supporting learning disabled people,Skillnet Group - Supporting learning disabled people,S.E. England,"Floor 2, Maybrook House,,Queen's Gardens,",Dover,CT17 9AH,01304 242316,info@skillnetgroup.co.uk,Dan,Edney,"We provide a wide range of support including self advocacy, ASDAN  and NIACE awards and qualifications, person centred planning, G.P training, maths and money skills, Computers and ICT,independent living and lots more.

We involve learning-disabled people in all parts of the service we provide. This means that learning-disabled people are involved in management and decision team meetings. We also decide what we want to do each day in our own morning meetings.",adult,,http://www.skillnetgroup.co.uk,Advocacy,
Herefordshire P.A.S.S.,Herefordshire P.A.S.S.,Midlands,"Education Centre,Blackfriars Street,PO Box 185",HEREFORD,HR4 9ZR,01432 260877,jmhughes@herefordshire.gov.uk,Jan,Hughes,Support for pupils with physical and sensory (hearing and visual) disabilities in mainstream schools in Herefordshire.,children,LEA provision,www.education.herefordshire.gov.uk,Education,
JARCS,JARCS,Scotland,2 Midlothian Drive,Glasgow,G41 3RE,0141 632 1703,jean@jarcs.co.uk,Jean,Alcock,"Research and consultancy on disability issues in learning, employment and leisure.  Training brokerage on topics relevant to disability - Disability Discrimination Act, Disability Awareness, Welfare Benefits, Accessible Information, Dyslexia. Information dissemination and network development.",all,Organisations charged - fees negotiable; free telephone information and advice to individuals,www.jarcs.co.uk,Other,Research & Consultancy
Educational Psychologist,Ann Marie Saunders Chartered Educational Psychologist,All of UK,P O Box 408,Manchester,M14 0AA,0161 614 0461,annmarie.saunders@ntlworld.com,Ann Marie,Saunders,"Psychological assessment of children for court proceedings and special educational needs tribunals(SENDIST);Psychological assessment of children aged 6 months to 18 years across all areas of learning and emotional and behavioural difficulties: dyslexia, dyspraxia, physical, complex and severe learning difficulties; autistic spectrum disorders; language, communication and social difficulties; sensory impairment.Counselling of pupils 11 to 18 years with the following concerns: bullying; bereavement; self-harm; exam stress; eating disorders; family issues; organizational problems; specific learning difficulties, for example, dyslexia and dyspraxia; anger management, school phobia.",children,Yes,,Other,Educational Psychology
Penn Hall School,Penn Hall School,Midlands,"Penn Hall School,Vicarage Road,Penn",Wolverhampton,WV4 5HP,1902558355,admin@pennhall.biblio.net,Jane,Whittall,"Penn Hall School is a maintained co-educational and residential special school for 80 pupils and students aged from 3 - 19. All pupils and students have physical difficulties as their major disability and have a statement of Special Educational Needs.”Our residential facility is used on average by six different pupils each week.” The school is situated in the south west of Wolverhampton and admits pupils from the neighbouring authorities of Dudley, Walsall, Staffordshire, Sandwell and Shropshire.",children,,http://www.pennhall.co.uk,School / College,
Supported Housing (for learning disabled people),Bosworth Klein (Properties) Ltd,All of UK,"83, Carmel Road North",Darlington,DL3 8RJ,1325465525,bkpl@key-uplands.freeserve.co.uk,Paul,Key,"BKPL acquire properties on the open market for learning disabled individuals, or self chosen groups, who are in housing need. The properties are acquired using private finance. Housing choice is based on individual preference and person-centred planning and is only available where existing subsidised housing options can not be accessed.
Once acquired and developed, the properties are then leased to Rivendell Lake Housing Association or to Bluebell Housing Association who are not-for-profit long-term housing management providers who offer full assured tenancies.
There are no housing costs to local authorities and the majority of tenants access housing benefit to meet their rent payments.",adult,No,,Housing,
SPLD and ICT Information,"The Bridge School, Telford",All of UK,"Grange Avenue,,Stirchley,Telford,TF3 1UP",Telford,TF3 1UP,01952 417020,diane.hasell@taw.org.uk,Diane,Hasell,The Bridge is a special school for pupils with Severe and Profound Learning Difficulties.  We have a NAACE mark for quality ICT and are on the National ICT Register.,children,Depends on service required.,http://home.teknical.com/thebridge,School / College,Education
Bexley Learning Disability Team,Oxleas NHS Trust and Bexley Council,London,"Bexley Learning Disability Team,Erith Centre,Park Crescent,Erith,Kent",Erith,DA8 3EE,01322 356154,mark.bradley@oxleas.nhs.uk,mark,bradley,"We provide a specialist Community Based Multi-Disciplinary Health and Social Care Service for Adults with Learning Disabilities. The team is made up of Community Nursing, Social Work, Psychology, Psychiatry, Occupational Therapy, Speech Therapy, Physiotherapy and links into a wide range of mainstream services in health and social care.",adult,None,www.oxleas.nhs.uk,Health Care & Advice,Social Care Support
Specialist Care for Elderly People with Learning Disabilities,Growing Older with Learning Disability Ltd.,All of UK,"Field House,Chesterfield Road,Alfreton,Derbyshire DE55 7DT",Alfreton,DE55 7DT,0870 7669396,enquiries@gold-care.com,Dr. Tom,Tait,"We provide specialist care to adults with mild to moderate learning disability who because of their complex healthcare needs associated with age and infirmity are vulnerable in mainstream social care and specialist health services. Our facility is specially adapted to be spacious, yet provide a homely environment for eight gentlemen. We can also provide services to people detained under the Mental Health Act.",adult,fees are charged based upon individual requirements,www.gold-care.com,Hospital Service,
Assistive Technology,Consult-ancy (Leeds) Ltd,N.E. England,"Albion Chambers,Units 5-9,Albion Street,Morley",Leeds,LS27 8DT,0113 238 0317,admin@consult-ancy.co.uk,Tracey,Horrigan,"We are Assessors, Trainers and Providers of Assistive technology for people with Disabilities. Our company provides custom solutions to assist people with disabilities. Utilising standard and specialist computer software and hardware, and incorporating other specialist technologies.  Consultancy, seek to assist the individual either in their home, workplace or as a student. We also provide FREE advice and demonstrations.   If you need us to put you on a circulation list for our price list then that is something we can also do for you.",all,Only if you purchase goods/services.,www.consult-ancy.co.uk,Assessment,All Disabilities
Avon Forensic Community LD Team,Avon Forensic CLDT,S.W. England,"Avon Forensic CLDT,Kilmersdon Road,Hartcliffe,Bristol,BS139NQ",Bristol,BS139NQ,1179020202,wendy.goodman@bristolswpct.nhs.uk,Wendy,Goodman,"We are a small specialist team working with adults with learning disabilities who have committed offences or are at risk of offending. We offer risk assessment, advice to teams and specialist groupwork.We are based in Bristol but cover Avon. We are employed by the NHS and take referrals from local Community teams, social services, the criminal justice system. Service users can also refer themselves.",adult,no,,Advice,NHS
Arts Activities,The Phoenix,S.E. England,"The Phoenix,Station Road",Bordon,GU35 0LR,01420 472664,info@phoenixarts.co.uk,Jane,Dawes,"The Phoenix offers arts activities to people of all ages and abilities. They offer an adult learning programme in dance, drama, art, music and pottery for adults with learning and/or physical disabilities.",adult,£3 per class,www.phoenixarts.co.uk,Sports & Leisure,Arts
Frenchay Computer Assessment & Training Service,Frenchay Computer Assessment & Training Service,S.W. England,"Speech and Language Therapy Department,Frenchay Hospital,Bristol,BS16 1LE",Bristol,BS16 1LE,0117 975 3946,sarah.woodward@nbt.nhs.uk,Sarah,Woodward,We are an NHS funded assessment and training service run by a team of highly specialist speech and language therapists.  We see anyone over the age of 11 who has a communication disability.  We try to find equipment to make access to the computer easier and also software to faciliate communication and/or for therapy of speech and language. All referrals must be made through a local speech and language therapist. We do not fund equipment - we make specialist recommendations.,all,"not to the patient, only to their PCT",www.cacfrenchay.nhs.uk,Computers & The Internet,
Bexley SNAP,Bexley SNAP,S.E. England,"1st Floor, St. Augustine Primary School,St. Augustine's Road",Belvedere,DA17 5HP,020 8311 6777,admin@bexleysnap.org.uk,Wendy,Morris,"SNAP is a parent-led support agency for families of disabled children and young people in Bexley, and provides a wide range of services to both children and their parents and carers.",all,,www.bexleysnap.org.uk,Charities,
Educational Software,Crick Software,All of UK,"Crick House,Boarden Close,Moulton Park",Northampton,NN3 6LF,01604 671691,info@cricksoft.com,Sales,admin,"Crick Software, based in Northampton UK, is solely focused on producing innovative software for pupils of all abilities.  The company concentrates particularly on software tools for literacy.

Crick Software promotes the inclusion of children of all abilities by creating flexible products that can be tailored by teachers to the needs of individuals. Most products have the option of switch access, for users with a disability who are unable to use a mouse or keyboard.  

The Company’s best-known product is Clicker, a supportive writing and multimedia tool.  Clicker has won five BETT awards, is a Millennium Product, and is used in over 40,000 schools worldwide.  Clicker 5 will be launched at BETT 2005.  Other products include ClozePro, Jigworks and Wordbar.

Ready-made sets of learning resources to support Crick’s products can be freely downloaded from www.LearningGrids.com.   In addition to materials created in-house, the site also offers teachers the opportunity to share materials they have created for their own classrooms.",all,All our software is available for both school and home purchases.,www.cricksoft.com,Software Company,
Advocacy in Gateshead and South Tyneside,Advocacy in Gateshead and South Tyneside,N.E. England,"The Old Bank,,Swinburne Street,,Gateshead,Tyne and Wear",Gateshead and South Tyneside,NE8 1AX,1914786472,info@aigst.com,Dianne,Soulsby,"Provide self advocacy, case advocacy, citizen advocacy and involvement support for people with learning disabilities.
Train and support volunteers to become citizen advocates.",adult,,www.aigst.com,Advocacy,
Freeways Therapeutic Care,Freeways,S.W. England,"Freeways,Leigh Court Day Centre,Pill Road,Abbots Leigh",Bristol,BS8 3RA,01275 372109,info@freewaystrust.co.uk,Chris,Lester,"Freeways provides care and support to adults with a learning disability. Our services include residential care, supported living, outreach support and day services. We also run a therapeutic centre offering hydrotherapy and other treatments.

Freeways is committed to working in honest partnership with service users, their funding authorities, health colleagues, CSCI and family carers when appropriate.

Freeways aims to provide person centred services, with positive and individualised outcomes for each service user. This is achieved through attracting, retaining and developing a workforce that is skilled, knowledgeable and committed to these principles and objectives.",adult,Based on individualised services required,www.freewaystrust.co.uk,Charities,
Aromatherapy and Massage,Steph Thompson,Midlands,Chellaston,Derby,DE73 6PE,01332 705880,steph243uk@yahoo.co.uk,Steph,Thompson,"Aromatherapy and massage for people with special needs,(especially children).Also I teach parents/carers/teaching staff how to use massage and aromatherapy to improve the lives of people with special needs.",all,£20 per hour plus expenses.,,Therapy,Massage
Federation of Local Supported Living Groups,Federation of Local Supported Living Groups,N.W. England,"Federation of Local Supported Living Groups,Dam House,Astley Hall Drive,Astley,Manchester,M29 7TX",Astley,M29 7TX,01942 871157,indliv@federation.fsnet.co.uk,Kath,McKinstry,"What is the Federation?
It is a charity working in Greater Manchester, Lancashire, Cheshire, The Wirral and Merseyside.
  
We are parent and family members working in partnership with local professionals and others interested people whose aims are:     
    
to support and encourage the development of local family led groups, that will offer opportunities and,high quality, individually designed supports and choices, to people who have a learning disability and who wish to plan to have a home of their        own.
   
Each group can be made up of parents / family members / carers, people who are or may be supported, local professionals and business people, and other interested local people.
    
groups will support no more than 25-30 people, planning to, or living in ordinary houses or flats.

Each group enables the people they support to move towards having greater control over their own lives:
      
- within their everyday experiences
- within their own community
- with their local group
- with ordinary opportunities
- with the Federation",all,Yes,http://www.supported-living.org/,Supported Living,& Elderly Carers
The Notables Foundation,The Notables,Midlands,"6 Pomeroy Close,Canley",Coventry,Cv4 8az,02476 464900,grahamelives@gmail.com,Margary,Jones,"The Notables is an organisation dedicated to enabling people with learning difficulties to take part in musical activities.

We provide a weekly workshop for our core group of members.  They rehearse every Wednsday night, at The Grapevine Drop in Centre in Coventry, to perform at local festivals events and parties.  We have taken part in Leamington Peace Festival, Spon End Wakes festival, Bild confrences, birthday parties and many many more.  We have even made a short film promoting our work.",all,"Due to lack of funds, small charges may be made",,Entertainment,Music Group
Specialist Speech & Language Therapist,Liz Henderson,All of UK,"The Hawthornes,Church View,Evercreech,Shepton Mallet",Somerset,BA4 6HX,01749 830887,libbylonk@btinternet.com,Liz,Henderson,"I'm a Specialist Speech and Language Therapist, providing an independent consultancy service to children with special needs (and their families), particularly those with profound and multiple learning disabilities.  I also specialise in paediatric eating / drinking difficulties.  
I will travel anywhere in the UK to provide a consultancy approach and can also offer regular ongoing advice / intervention for families living in or near Somerset.
I'm more than happy to talk through your needs / questions over the phone (or by email if you prefer), free of charge, before you decide whether or not to book an appointment.",children,Yes,,Speech & Language Therapy,Consultancy
Special Needs School,Oliver House School,N.W. England,"Oliver House School,Hall Gate,Astley Village,Chorley,Lancashire,PR7 1XA",Chorley,PR7 1XA,01257 220044,headteacher@oliverhouseschool.co.uk,Louise,Bell,"An independent school for children with complex needs and Autistic Spectrum Disorder.  Children work to a skill enhancement curriculum, supported by the TEACCH approach.  Horse, massage and rebound therapy are all available.  Individual programs are designed around information gained from an in-depth person centred planning process, which is reviewed as part of the curriculum and with involvement from family and friends.",children,Yes - contact us for details,,School / College,
Parent-led voluntary organisation on Auditory Processing Disorder,Auditory processing Disorder in the United Kingdom APDUK,All of UK,"APDUK,c/o Dacorum CVS,,48, High Street,,Hemel Hempstead,,Herts.",Hemel Hempstead,HP1 3AF,01656 766651,olanys@aol.com,Alyson,Mountjoy,"APDUK is the first UK parent-led organisation for those with Auditory Processing Disorder/APD. APDUK aims to provide support and advice and promote a multi-disciplinary approach to recognition, diagnosis and accommodation of APD. We provide online support forums, chats and the first international project to help adults with APD and an internationally acclaimed newsletter. APDUK also has support from a growing number of professionals, including the Medical Research Council Institute of Hearing Research, whose pamphlet on APD was produced in consultation with APDUK. UK tests are now being developed and training has begun for the specialists who will implement these tests.",all,Free information but nominal membership fee to  become a member of the voluntary organisation APDUK,http://www.apduk.org,Health Care & Advice,
Using ICT in SEN,Little Heath School,S.E. England,"Little Heath school, Hainault Road, Little Heath, Romford, Essex",Romford,RM6 5RX,2085994864,dware@lheath.net,David,Ware,Support for using ICT with children with SEN in schools.  Advice on software and hardware including network configuration and communication facilties.  Call or email to discuss needs.,adult,negotiable dependent on nature of support required,www.lheath.net,School / College,Advice and Support
DISABILITY RELATED TRAINING,BEST EMPLOYMENT SERVICES - TRAINING DEPARTMENT,All of UK,"Head Office; Brendan House, Victoria Square, Widnes, Cheshire, WA8 6AD.",Cheshire,WA8 6AD,0800 458 9686  +  0151 257 2711,info@bestemploymentservices.org.uk,TRAINING,DEPARTMENT,"* Disability Equality & Awareness Training
* Accessible Buildings Training
* Equality and Diversity Training
* Understanding the Disability Discrimination Act (DDA) Training
* One to One and Group Training for Disabled People (Inc LD) in Health and Safety, Interview Skills, Work Related Skills etc.

www.bestemploymentservices.org.uk",all,"Varies; discounts for public sector, charities etc",www.bestemploymentservices.org.uk,Training,
SUPPORTED EMPLOYMENT,BEST EMPLOYMENT SERVICES - SUPPORTED EMPLOYMENT DEPARTMENT,N.W. England,"Throughout the North West.,Head Office; Brendan House, Victoria Square, Widnes, Cheshire, WA8 6AD.",Cheshire,WA8 6AD,0800 458 9686  +  0151 257 2711,info@bestemploymentservices.org.uk,SUPPORTED EMPLOYMENT,TEAM,"One to one individualised support to disabled people in their workplace anywhere in the North West.  Training and coaching to enable people to become independent in their job.

www.bestemploymentservices.org.uk",all,Often FREE (paid by Access to Work) or £20 per hour,www.bestemploymentservices.org.uk,Employment Services,
ACCESS AUDITING,BEST EMPLOYMENT SERVICES - ACCESS AUDITING DEPARTMENT,All of UK,"Head Office; Brendan House, Victoria Square, Widnes, Cheshire, WA8 6AD.",Cheshire,WA8 6AD,0800 458 9686  +  0151 257 2711,info@bestemploymentservices.org.uk,ACCESS AUDITING,TEAM,"Access Auditing throughout the UK.  To ensure buildings are accessible by disabled people.  Carried out to DDA, Building Regulations (Part M) and BS8300 standards.  Walk and Talk (verbal advice) and Full (written report, photographs and detailed  recommendations) available.

www.bestemploymentservices.org.uk",all,"From £500; discounts for public sector, charities etc",www.bestemploymentservices.org.uk,Accessibility Services,
Swansea Education Assistive Technology Service,Assistive Technology Service,Wales,"Education Effectiveness Service,Ysgol Bryntawe,Heol Gwyrosydd,Penlan",Swansea,sa5 7bu,01792 562674,bernie.henderson@swansea-edunet.gov.uk,Bernard,Henderson,"We offer an assistive technology assessment service for children in the City & County of Swansea and beyond.  Support includes training in school and at the service centre.  

Support is available to schools outside Swansea by arrangement.",children,"Free to schools in Swansea, charges apply outside.",www.learn-ict.org.uk,Education,
communcation and lip reading,Southport Hear Here Nugent Care,N.W. England,"Hear Here,C/o Nugent Care,Gordon way Business Ccentre,Gordon Street",Southport Merseyside,PR9 0BG,01704 534102,hear.here@nugentcare.org,Alison,Wareing,"Southport Hear Here - hard of hearing project:covers a variety of areas. 
* lip reading classes
* advise on where to find a lip speaker
* e- mail and internet training
* texting training 
* trips and social events
* volunteer training and volunteer scheme
* environmental aids loaning scheme",adult,all services are free,,Advice,Communcation advice and lip reading
Face to Face,Face to Face,S.E. England,"Face to Face,Lingfield and Dormansland Community Centre,The High Street,Lingfield,Surrey  RH7 6AB",Lingfield,RH7 6AB,01342 832123,enquiries@facetofacesurreysussex.org.uk,Rachel,Lickiss,We provide befrienders for parents of children with disabilities.  All our befrienders are themselves parents of a child with a disability and have taken part in our training programme.  Befriending is provided on a 1:1 basis at a time and place to suit the parent.  Referrals can be made by the parent or by any professional working with them. Based across Surrey and Sussex.,adult,No,www.facetofacesurreysussex.org.uk,Parents' Support Services,
Support for people with learning difficulties,Aldingbourne Trust,S.E. England,"Aldingbourne Trust,Blackmill Lane,Norton,Chichester,West Sussex,PO18 0JP",Bognor Regis,PO18 0JP,01243 544607,centraloffice@aldingbournetrust.co.uk,Sue,Livett,"Providing training and support for adults who have a learning difficulty.  Vocationally based services, art & craft service, training for employers in disability awareness.  Supported living and registered care home accommodation, with 24 hr back up.",adult,varies,www.aldingbournetrust.co.uk,Charities,
Specialist Learning Disability Service,Calderstones NHS Trust,N.W. England,"Calderstones NHS Trust,Mitton Road,Whalley,Clitheroe,Lancashire",Clitheroe,BB7 9PE,01254 822121,,Christine,Hargreaves,"Calderstones NHS Trust provides specialist services and support to people with learning disabilities and offers a range of hospital and community based services across the North West. Calderstones’ main base is in Whalley, Lancashire where its hospital service is provided. Its community based services are situated in Greater Manchester and East Lancashire and currently supports over 160 people to enable them to live as independently as possible within their own home.",adult,,www.calderstones.nhs.uk,Health Care & Advice,Hospital and community service - NHS
Special Needs Products,Concept Northern,Scotland,"11-13 St Bryde Street,The Village",East Kilbride,G74 4HQ,01355 573173,louiset@cc2000.co.uk,Louise,Tasker,"Based in Scotland we provide Hardware, Software and Training for visual & hearing impaired and dyslexic computer users.Our present customer base includes, students receiving DSA,adults in work receiving help through Access to Work and a wide range of companies and individuals with computer needs.",all,Training and product costs.,www.conceptnorthern.co.uk,Computers & The Internet,Special Needs Hardware & Software
Springwell Special School Hartlepool,Springwell Special School,N.E. England,Wiltshire Way,Hartlepool,TS26 0TB,01429 280600,admin@springwellschool.co.uk,Karl,Telfer,A Special School for children aged 4 - 11 with a variety of disabilities,all,none,www.springwellschool.co.uk,School / College,
